"page","name","properties","status","comment","call_type","destination"
"modal_cart","ClickPlus","{""itemId"":""2erf23f3eraat3"",""saleId"":""7b5b8da79f334e628b2ecfa61"",""category"":""jewelry"",""profile"":""gender du produit"",""listPrice"":""79"",""netPrice"":""39.50"",""discountAmount"":""39.50"",""discountRate"":""0.5"",""quantity"":""quantite apres clic"",""triggerStock"":""boolean"",""brand"":""brand name""}","New","","track","Elastic Search"
"modal_cart","ClickMinus","{""itemId"":""2erf23f3eraat3"",""saleId"":""7b5b8da79f334e628b2ecfa61"",""category"":""jewelry"",""profile"":""gender du produit"",""listPrice"":""79.00"",""netPrice"":""39.50"",""discountAmount"":""39.50"",""discountRate"":""0.5"",""quantity"":""quantite apres clic"",""triggerStock"":""boolean"",""brand"":""brand name""}","New","","track","Elastic Search"
"modal_cart","Remove Item","{""itemId"":""2erf23f3eraat3"",""saleId"":""7b5b8da79f334e628b2ecfa61"",""category"":""jewelry"",""profile"":""gender du produit"",""listPrice"":""79.00"",""netPrice"":""39.50"",""discountAmount"":""39.50"",""discountRate"":""0.5"",""brand"":""brand name""}","New","","track","Elastic Search"
"modal_cart","ShowCart","{""cartSize"":""5""}","New","","track","Elastic Search"
"modal_profile","Log Out","{""from"":""ModalProfile""}","New","","track","Elastic Search"
"modal_profile","ShowAllOrders","{""from"":""ModalProfile""}","New","","track","Elastic Search"
"page_checkout_email","Edit","{""field"":""email"",""from"":""PageCheckout""}","New","","track","Elastic Search"
"page_checkout_payment","Edit","{""field"":""cardholder-name"",""from"":""PageCheckout""}","New","faire pareil avec les fields cvv, card-number, expiration-date","track","Elastic Search"
"page_checkout_shipping","Edit","{""field"":""firstname"",""from"":""PageCheckout""}","New","faire pareil avec les fields lastname, address, city, zipCode, phone, addressDetails","track","Elastic Search"
"page_checkout_order","SubmitOrder","{""cartSize"":"""",""cartPrice"":"""",""saving"":"""",""categories"":""array listant chaque categorie presente sans la multiplicite"",""deliveryCost"":""montant total de la livraison"",""orderAmount"":""montant total paye par le user avec la livraison discount et codes promo"",""code"":""code promo utilise"",""from"":""PageCheckout"",""paymentType"":""GooglePay/ApplePay/Visa/PayPal/MasterCard/AmericanExpress""}","New","","track","Elastic Search"
"page_home_ongoing","ClickSale","{""saleId"":""7b5b8da79f334e628b2ecfa61"",""brand"":""brand name"",""status"":""ongoing"",""from"":""PageHome"",""imageId"":"""",""position"":"""",""maxDiscountRate"":""value between 0 and 1"",""freeShipping"":""boolean""}","New","","track","Elastic Search"
"page_home_upcoming","ClickSale","{""saleId"":""7b5b8da79f334e628b2ecfa61"",""brand"":""brand name"",""status"":""ongoing"",""from"":""PageNext"",""imageId"":""position""}","New","","track","Elastic Search"
"page_item","AddToCart","{""itemId"":""2er2e4abt9ra"",""saleId"":""7b5b8da79f334e628b2ecfa61"",""brand"":""brand name"",""category"":""gadgets"",""profile"":""gender du produit"",""listPrice"":""45.00"",""netPrice"":""27.00"",""discountAmount"":""18.00"",""discountRate"":""0.4""}","Implemented","","track","Elastic Search"
"page_item","ShowMore","{""itemId"":"""",""saleId"":"""",""section"":""details/delivery/return""}","New","","track","Elastic Search"
"page_item","ShowLess","{""itemId"":"""",""saleId"":"""",""section"":""details/delivery/return""}","New","","track","Elastic Search"
"page_item","ClickItem","{""itemId"":"""",""saleId"":"""",""brand"":""brand name"",""category"":""gadgets"",""profile"":""gender du produit"",""discountAmount"":""4.40"",""discountRate"":""0.4"",""from"":""SuggestedContent/BrowsingHistory""}","New","","track","Elastic Search"
"page_item","SwipeImage","{""itemId"":"""",""saleId"":""41dcde5a67bb422ca072fa49b"",""brand"":""brand name"",""category"":""gadgets"",""profile"":""gender du produit"",""imageId"":""imageId apres le swipe"",""position"":""""}","New","","track","Elastic Search"
"page_home_upcoming","SetReminder","{""saleId"":"""",""brand"":""brand name"",""from"":""PageNext""}","New","","track","Elastic Search"
"page_home_upcoming","RemoveReminder","{""saleId"":"""",""brand"":""brand name"",""from"":""PageNext""}","New","","track","Elastic Search"
"page_login","CreateAccount","{""from"":""PageLogin""}","New","que ce soit avec le lien rouge ou avec le lien bleu","track","Elastic Search"
"page_login","CheckAccount","{""with"":""email/phone"",""exists"":""boolean"",""from"":""PageLogin""}","New","","track","Elastic Search"
"page_personal_information","Edit","{""field"":""firstname/lastname/email"",""from"":""PagePersonalInformation""}","New","","track","Elastic Search"
"page_personal_information","ChangePassword","","New","","track","Elastic Search"
"page_personal_information","UpdatePersonalInformation","","New","","track","Elastic Search"
"page_profile","ShowAllOrders","{""from"":""PageProfile""}","New","","track","Elastic Search"
"modal_profile","ShowPersonalInformation","{""from"":""ModalProfile""}","New","","track","Elastic Search"
"page_profile","ShowPersonalInformation","{""from"":""PageProfile""}","New","","track","Elastic Search"
"page_profile","Log Out","{""from"":""PageProfile""}","Implemented","","track","Elastic Search"
"page_sale_ongoing","ClickItem","{""itemId"":"""",""saleId"":"""",""brand"":""brand name"",""category"":""sunglasses"",""profile"":""gender du produit"",""listPrice"":""28.90"",""netPrice"":""18.80"",""discountAmount"":""10.10"",""discountRate"":""0.35"",""from"":""PageSale""}","New","","track","Elastic Search"
"page_sale_ongoing","ShowMore","{""saleId"":"""",""category"":""sunglasses"",""section"":""edito""}","New","","track","Elastic Search"
"page_sale_upcoming","SetReminder","{""saleId"":"""",""brand"":""brand name"",""from"":""PageSale"",""status"":""upcoming""}","New","","track","Elastic Search"
"page_sale_upcoming","RemoveReminder","{""saleId"":"""",""brand"":""brand name"",""from"":""PageSale"",""status"":""upcoming""}","New","","track","Elastic Search"
"page_signup","Edit","{""field"":""firstname/lastname/phone/email/password"",""from"":""PageSignup""}","New","","track","Elastic Search"
"page_signup","ReadTermsAndConditions","{""url"":""url du clic""}","Implemented","","track","Elastic Search"
"page_summary","ClickPlus","{""itemId"":""2erf23f3eraat3"",""saleId"":""7b5b8da79f334e628b2ecfa61"",""category"":""jewelry"",""profile"":""gender du produit"",""listPrice"":""79.00"",""netPrice"":""39.50"",""discountAmount"":""39.50"",""discountRate"":""0.5"",""quantity"":""quantite apres clic"",""triggerStock"":""boolean"",""brand"":""brand name""}","New","","track","Elastic Search"
"page_summary","ClickMinus","{""itemId"":""2erf23f3eraat3"",""saleId"":""7b5b8da79f334e628b2ecfa61"",""category"":""jewelry"",""profile"":""gender du produit"",""listPrice"":""79.00"",""netPrice"":""39.50"",""discountAmount"":""39.50"",""discountRate"":""0.5"",""quantity"":""quantite apres clic"",""triggerStock"":""boolean"",""brand"":""brand name""}","New","","track","Elastic Search"
